"host","records_per_host","avg_bow_size","min_bow_size","max_bow_size"
"www.txstate.edu",125,7,1,16
"www.phys.ksu.edu",124,9,1,32
"data.southampton.ac.uk",124,453,15,11524
"www.uky.edu",124,42,2,274
"www.earth-syst-sci-data.net",124,2427,165,23116
"www.lexvo.org",123,1432,15,4739
"www.data.gouv.fr",123,3437,4,63041
"www.thedigitalwalters.org",123,5438,9,16700
"tutorial.math.lamar.edu",123,11,1,12
"maps.ci.charlotte.nc.us",122,1899,10,6994
"maps.cera.govt.nz",120,270,13,6993
"www.map.nasa.gov",119,85,30,253
"nsidc.org",118,860,2,15890
"taskman.eionet.europa.eu",116,5565,2,98157
"gis.ohiodnr.gov",116,623,9,6378
"spase.info",115,593,79,1873
"land.discomap.eea.europa.eu",115,1615,10,7010
"data.gov.in",115,303,1,4613
"cugirmetadata.mannlib.cornell.edu",115,1106,429,8321
"weather.noaa.gov",113,173,76,328
"data.fs.usda.gov",112,1040,232,4120
"gis.rita.dot.gov",110,53,11,1510
"www.uwex.edu",110,45,1,460
"data.cityofchicago.org",108,3930,26,33679
"www.phys.ufl.edu",108,160,1,2196
"www.volcano.si.edu",107,146,57,217
"mercury.ornl.gov",107,199,32,701
"herbarium.unc.edu",107,8,1,12
"vitallongevity.utdallas.edu",107,23,10,25
"dd.eionet.europa.eu",107,5618,4,64561
"www.xmpp.org",106,64,15,4375
"web.ics.purdue.edu",106,37,1,1066
"www.isgs.illinois.edu",105,1490,403,4495
"databank.ora.ox.ac.uk",105,183,16,7691
"hellokitty.ites.upr.edu",105,3730,2021,14009
"sites.psu.edu",105,22,22,22
"www.isgs.uiuc.edu",104,1402,403,5124
"www.ga.gov.au",103,776,379,2246
"ngmdb.usgs.gov",103,451,78,542
"astrogravs.gsfc.nasa.gov",102,297,55,1194
"lisa6.gsfc.nasa.gov",102,297,54,1194
"www.regent.edu",102,15,10,24
"www.math.utah.edu",102,2623,715,7645
"www.lehendakaritza.ejgv.euskadi.eus",101,3750,193,45928
"haitidata.org",101,500,21,3278
"luq.lternet.edu",101,4345,2019,48306
"repository.opendata.ch",101,1401,179,3998
"data.cityofnewyork.us",100,3570,3,35678
"tcga-data.nci.nih.gov",99,38,28,46
"mldata.org",99,2889,56,54668
"globalchange.nasa.gov",99,170,120,4946
"opendata.yurukov.net",99,289,141,1530
"www.phys.k-state.edu",98,9,1,32
"eidchub.ceh.ac.uk",98,282,96,729
"www2.watkins.edu",98,49,17,154
"ir.columbusstate.edu",98,41,6,101
"www.math.upenn.edu",98,4748,68,32915
"data.linz.gv.at",97,1030,14,7644
"phonedir.uccs.edu",97,118,2,1109
"cdip.ucsd.edu",97,701,652,758
"cloud.insideidaho.org",97,1591,144,7836
"www.cs.cmu.edu",97,26,1,764
"opendata.cern.ch",96,4557,39,50338
"geo.azmag.gov",96,406,21,7008
"ratings.food.gov.uk",96,17143,1,27797
"esrl.noaa.gov",96,610,3,5750
"www.jamstec.go.jp",96,9,1,26
"www.watkins.edu",95,50,17,154
"data.ok.gov",95,1753,25,29480
"mirrors.mit.edu",94,4527,7,59835
"www.cs.umd.edu",94,113,2,5426
"www.economics.ox.ac.uk",94,45,44,46
"phet.colorado.edu",94,363,29,30800
"inspire.ec.europa.eu",93,1754,25,28144
"data.sfgov.org",93,5999,20,39024
"stats06.emcdda.europa.eu",93,456,90,1836
"vocab.lternet.edu",93,63,3,380
"seamlessrnc.nauticalcharts.noaa.gov",93,185,11,1126
"www.cob.org",93,837,99,7964
"csis.pace.edu",92,7,1,28
"www.ovsa.njit.edu",92,580,66,10424
"gis.chesapeakebay.net",92,1263,10,6992
"stats05.emcdda.europa.eu",92,435,102,5923
"clarin-pl.eu",92,396,13,13606
"maps2.dcgis.dc.gov",91,136,21,682
"services.wvgis.wvu.edu",89,1850,10,7009
"core.ecu.edu",89,316,1,8782
"data.bmkg.go.id",89,516,6,4489
"data.doi.gov",89,1553,11,9981
"zlin.ba.ttu.edu",89,8,1,12
"www.bcm.edu",89,40,4,880
"kgs.uky.edu",88,254,16,646
"datahub.io",88,130,27,620
"engineering.purdue.edu",88,94,1,1823
"data.mcc.gov",88,10173,424,44892
"water.discomap.eea.europa.eu",88,838,12,7010
"data.gov.au",87,5841,6,40831
"seakgis03.alaska.edu",86,1556,58,5368
"www.gpo.gov",86,4598,16,91100
"gis.montgomerycountymd.gov",85,52,12,2673
"web.stcloudstate.edu",85,39,1,331
