"num_responses","xpath"
29,"MD_Metadata/identificationInfo/SV_ServiceIdentification/resourceMaintenance/MD_MaintenanceInformation/maintenanceAndUpdateFrequency/MD_MaintenanceFrequencyCode"
28,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/algorithm/LE_Algorithm/citation/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
26,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/algorithm/LE_Algorithm/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
25,"MI_Metadata/dataQualityInfo/DQ_DataQuality/scope/DQ_Scope/level/MX_ScopeCode"
24,"MD_Metadata/metadataConstraints/MD_SecurityConstraints/classification/MD_ClassificationCode"
24,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/documentation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
24,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
23,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
22,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/documentation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
21,"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
19,"MI_Metadata/contentInfo/MD_ImageDescription/processingLevelCode/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
18,"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_SecurityConstraints/classification/MD_ClassificationCode"
18,"MI_Metadata/contentInfo/MD_ImageDescription/processingLevelCode/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
17,"MD_Metadata/resourceConstraints/MD_LegalConstraints/useConstraints/MD_RestrictionCode"
