"response_id","age","protocol","num_nondigital","num_offline","num_online"
160835,"2011-01-01","FGDC",0,0,0
160873,"2003-01-01","FGDC",0,0,0
160887,"2009-01-01","ISO",0,0,2
160961,"2014-01-01","FGDC",0,0,3
161008,"2015-01-01","FGDC",0,0,0
161102,"2015-01-01","FGDC",0,0,0
161132,"2015-01-01","FGDC",0,1,0
161141,"2006-01-01","FGDC",0,0,1
161200,"2011-01-01","ISO",0,0,1
161242,"2015-01-01","ISO",0,0,6
161266,"2008-01-01","FGDC",0,1,0
161269,"1990-01-01","FGDC",0,0,3
161329,"2007-01-01","FGDC",0,1,1
161390,"2015-01-01","FGDC",0,0,0
161530,"2007-01-01","FGDC",0,0,2
161600,"2015-01-01","ISO",0,0,2
161632,"","ISO",0,0,2
161771,"2013-01-01","FGDC",0,0,0
161840,"2014-01-01","FGDC",0,0,0
161917,"2014-01-01","ISO",0,0,2
162062,"2014-01-01","ISO",0,0,7
162074,"","ISO",0,0,4
162177,"2006-01-01","FGDC",0,0,0
162273,"1984-01-01","FGDC",0,0,3
162304,"2009-01-01","FGDC",0,0,1
162330,"2011-01-01","FGDC",0,0,0
162413,"2015-01-01","FGDC",0,0,0
162561,"2015-01-01","FGDC",0,0,37
162650,"1987-01-01","FGDC",0,0,3
162669,"2006-01-01","FGDC",0,0,1
162682,"","ISO",0,0,0
162750,"","ISO",0,0,4
162765,"2005-01-01","FGDC",0,1,1
162784,"2014-01-01","ISO",0,0,5
162794,"2011-01-01","FGDC",0,1,0
162821,"2012-01-01","ISO",0,0,0
162897,"2010-01-01","FGDC",0,0,0
162903,"2005-01-01","ISO",0,0,0
162919,"2014-01-01","ISO",0,0,9
162961,"2015-01-01","ISO",0,0,0
163014,"2010-01-01","ISO",0,0,1
163035,"","ISO",0,0,1
163047,"2015-01-01","FGDC",0,0,33
163052,"2012-01-01","FGDC",0,0,0
163059,"2015-01-01","ISO",0,0,1
163092,"2012-01-01","ISO",0,0,0
163151,"2014-01-01","FGDC",0,0,1
163198,"2007-01-01","FGDC",0,0,3
163201,"2014-01-01","ISO",0,0,0
163252,"1987-01-01","FGDC",0,0,3
163353,"2012-01-01","FGDC",0,0,1
163378,"","ISO",0,0,1
163557,"2015-01-01","FGDC",0,0,0
163677,"2014-01-01","ISO",0,0,1
163724,"2014-01-01","ISO",0,0,2
163874,"2012-01-01","ISO",0,0,4
163889,"2014-01-01","FGDC",0,0,3
163901,"2014-01-01","ISO",0,0,5
164025,"2003-01-01","ISO",0,0,1
164084,"2014-01-01","ISO",0,0,6
164155,"2014-01-01","ISO",0,0,26
164211,"2008-01-01","ISO",0,0,0
164251,"2009-01-01","FGDC",0,0,3
164432,"2010-01-01","FGDC",0,0,3
164443,"2012-01-01","FGDC",0,0,0
164483,"2014-01-01","ISO",0,0,1
164488,"2015-01-01","FGDC",0,0,0
164604,"2007-01-01","FGDC",0,2,1
164747,"2014-01-01","ISO",0,0,2
164767,"2015-01-01","FGDC",0,0,33
164867,"2014-01-01","FGDC",0,0,4
164905,"2015-01-01","ISO",0,0,2
164963,"2015-01-01","ISO",0,0,2
164977,"","ISO",0,0,1
165128,"2007-01-01","FGDC",0,0,0
165193,"2012-01-01","FGDC",0,0,0
165321,"2010-01-01","FGDC",0,0,0
165340,"2008-01-01","ISO",0,0,0
165407,"2004-01-01","FGDC",0,0,0
165424,"2015-01-01","FGDC",0,0,2
165479,"2015-01-01","FGDC",0,0,1
