"tag","match_type","avg_ids"
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/otherConstraints/CharacterString","urn",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/useLimitation/CharacterString","doi",1.05
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/useLimitation/CharacterString","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceFormat/MD_Format/name/CharacterString","cooluri",1.05
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceFormat/MD_Format/name/CharacterString","md5",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","doi",1.20
"MD_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","md5",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","urn",1.00
"MD_Metadata/identificationInfo/SDN_DataIdentification/extent/EX_Extent/verticalElement/EX_VerticalExtent/verticalCRS/VerticalCRS/verticalDatum/VerticalDatum/identifier/@codeSpace","text",1.00
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",1.00
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","uuid",1.00
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","text",2.68
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","uuid",1.00
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/RS_Identifier/codeSpace/CharacterString","text",5.25
"MD_Metadata/identificationInfo/SV_ServiceIdentification/containsOperations/SV_OperationMetadata/connectPoint/CI_OnlineResource/linkage/URL","uuid",1.00
"MD_Metadata/identificationInfo/SV_ServiceIdentification/extent/EX_Extent/temporalElement/EX_TemporalExtent/extent/TimePeriod/@id","uuid",1.00
"MD_Metadata/identificationInfo/SV_ServiceIdentification/operatesOn/@href","uuid",2.29
"MD_Metadata/identificationInfo/SV_ServiceIdentification/operatesOn/@uuidref","md5",8.00
"MD_Metadata/identificationInfo/SV_ServiceIdentification/operatesOn/@uuidref","uuid",1.00
"MD_Metadata/parentIdentifier/CharacterString","uuid",1.00
"MD_Metadata/parentIdentifier/CharacterString","text",1.00
"MD_Metadata/parentIdentifier/CharacterString","urn",1.00
"MD_Metadata/parentIdentifier/CharacterString","md5",1.00
"MD_Metadata/referenceSystemInfo/MD_ReferenceSystem/referenceSystemIdentifier/RS_Identifier/authority/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",1.58
"metadata/abstract","doi",2.00
"metadata/abstract","cooluri",1.00
"metadata/Binary/Enclosure/Data","cooluri",1.00
"metadata/Binary/Enclosure/Data/@SourceMetadataDigest","md5",1.00
"metadata/Binary/Thumbnail/img","cooluri",88.00
"metadata/citation","doi",1.00
"metadata/common_information/metadata_source/url","uuid",1.00
