"protocol","published","count_w_lineage","count_wo_lineage"
"""FGDC""","2013-10-01",179,33
"""ISO""","2013-10-01",0,48
"""FGDC""","2013-11-01",69,2
"""ISO""","2013-11-01",628,69
"""FGDC""","2013-12-01",80,13
"""ISO""","2013-12-01",5,36
"""FGDC""","2014-01-01",85,54
"""ISO""","2014-01-01",0,54
"""FGDC""","2014-02-01",54,27
"""ISO""","2014-02-01",1,14
"""FGDC""","2014-03-01",126,26
"""ISO""","2014-03-01",25,922
"""FGDC""","2014-04-01",114,40
"""ISO""","2014-04-01",23,118
"""FGDC""","2014-05-01",70,9
"""ISO""","2014-05-01",14,423
"""FGDC""","2014-06-01",88,55
"""ISO""","2014-06-01",476,221
"""FGDC""","2014-07-01",309,27
"""ISO""","2014-07-01",17,267
"""FGDC""","2014-08-01",49,14
"""ISO""","2014-08-01",22,309
"""FGDC""","2014-09-01",178,46
"""ISO""","2014-09-01",129,438
"""FGDC""","2014-10-01",91,75
"""ISO""","2014-10-01",94,269
"""FGDC""","2014-11-01",101,23
"""ISO""","2014-11-01",93,119
"""FGDC""","2014-12-01",907,108
"""ISO""","2014-12-01",23,388
"""FGDC""","2015-01-01",185,58
"""ISO""","2015-01-01",26,184
"""FGDC""","2015-02-01",421,34
"""ISO""","2015-02-01",0,68
"""FGDC""","2015-03-01",182,27
"""ISO""","2015-03-01",66,244
"""FGDC""","2015-04-01",149,31
"""ISO""","2015-04-01",279,106
"""FGDC""","2015-05-01",190,49
"""ISO""","2015-05-01",482,150
"""FGDC""","2015-06-01",159,44
"""ISO""","2015-06-01",98,307
"""FGDC""","2015-07-01",432,79
"""ISO""","2015-07-01",8,390
"""FGDC""","2015-08-01",724,139
"""ISO""","2015-08-01",200,796
"""FGDC""","2015-09-01",473,41
"""ISO""","2015-09-01",94,271
"""FGDC""","2015-10-01",2186,227
"""FGDC""","2015-12-01",0,1
"""ISO""","2015-12-01",0,2
"""FGDC""","2030-01-01",6,0
"""ISO""","2030-01-01",0,6
"""ISO""","2040-02-01",0,1
"""FGDC""","2104-07-01",1,0
"""ISO""","2104-07-01",0,1
"""FGDC""","8888-08-01",1,0
"""ISO""","9999-01-01",0,266
"""FGDC""","9999-09-01",1,0
"""ISO""","",294,5245
