"id","age","protocol","num_quality_tokens","num_quality_elements"
702878,"2013-03-01","""ISO""",74,2
157585,"2007-09-01","""ISO""",76,2
176141,"2003-06-01","""ISO""",190,2
494520,"2011-01-01","""ISO""",190,2
512851,"2005-07-01","""ISO""",12,2
200174,"2014-11-01","""ISO""",14,2
535561,"2012-02-01","""ISO""",60,2
575142,"2014-03-01","""ISO""",2,2
178428,"2012-10-01","""ISO""",198,2
630663,"2014-12-01","""ISO""",2,2
268201,"2011-02-01","""ISO""",68,2
627302,"2015-02-01","""ISO""",142,2
673674,"2013-10-01","""ISO""",342,2
540765,"2007-08-01","""ISO""",158,2
812437,"2012-06-01","""ISO""",44,2
563150,"2013-03-01","""ISO""",4,2
299700,"2009-09-01","""ISO""",42,2
520257,"2008-07-01","""ISO""",66,2
360965,"2006-04-01","""ISO""",118,2
468271,"2012-06-01","""ISO""",44,2
147657,"2015-03-01","""ISO""",16,2
335120,"2005-06-01","""ISO""",72,2
146512,"2015-03-01","""ISO""",2,2
791957,"2012-12-01","""ISO""",64,2
400220,"2015-03-01","""ISO""",456,2
707886,"1998-07-01","""ISO""",16,2
463315,"2008-02-01","""ISO""",80,2
775282,"2012-03-01","""ISO""",2,2
279639,"2011-09-01","""ISO""",190,2
745163,"2012-01-01","""ISO""",14,2
341395,"2014-11-01","""ISO""",2,2
302394,"2009-07-01","""ISO""",144,2
197298,"2015-05-01","""ISO""",2,2
580921,"2015-03-01","""ISO""",16,2
785326,"2015-06-01","""ISO""",128,2
299186,"2014-07-01","""ISO""",146,2
164395,"2014-09-01","""ISO""",136,2
671815,"2014-04-01","""ISO""",2,2
711759,"2008-01-01","""ISO""",2,2
722299,"2010-05-01","""ISO""",346,2
512609,"2012-03-01","""ISO""",80,2
168626,"2015-05-01","""ISO""",112,2
459224,"2012-10-01","""ISO""",198,2
621507,"9999-01-01","""ISO""",22,2
245091,"2013-03-01","""ISO""",82,2
403071,"2014-09-01","""ISO""",136,2
558236,"1998-07-01","""ISO""",16,2
454528,"2011-03-01","""ISO""",190,2
425480,"2008-04-01","""ISO""",158,2
348010,"2014-03-01","""ISO""",40,2
648376,"2006-06-01","""ISO""",70,2
644312,"1998-01-01","""ISO""",492,2
790920,"2007-11-01","""ISO""",134,2
422551,"2014-03-01","""ISO""",2,2
650867,"2015-06-01","""ISO""",4,2
523658,"2012-10-01","""ISO""",66,2
642993,"2008-09-01","""ISO""",134,2
399254,"2014-07-01","""ISO""",144,2
470759,"2012-06-01","""ISO""",44,2
352131,"2010-07-01","""ISO""",76,2
556068,"2012-06-01","""ISO""",44,2
166831,"2015-04-01","""ISO""",148,2
271816,"2014-03-01","""ISO""",2,2
645981,"2012-03-01","""ISO""",58,2
645430,"1998-07-01","""ISO""",16,2
521145,"2011-06-01","""ISO""",230,2
685806,"2008-01-01","""ISO""",2,2
734436,"2014-12-01","""ISO""",546,2
742050,"2013-09-01","""ISO""",104,2
473571,"2014-12-01","""ISO""",126,2
401523,"2007-05-01","""ISO""",2,2
279588,"2013-01-01","""ISO""",6,2
525004,"2014-06-01","""ISO""",2,2
285355,"2014-03-01","""ISO""",94,2
176983,"2011-06-01","""ISO""",108,2
766647,"2014-05-01","""ISO""",16,2
154148,"2010-10-01","""ISO""",20,2
303685,"2014-09-01","""ISO""",104,2
389418,"2009-03-01","""ISO""",80,2
373568,"2005-09-01","""ISO""",48,2
210361,"2015-06-01","""ISO""",34,2
226022,"2014-11-01","""ISO""",16,2
485156,"2009-04-01","""ISO""",346,2
300887,"2014-10-01","""ISO""",132,2
165203,"2009-08-01","""ISO""",158,2
153566,"2006-03-01","""ISO""",74,2
546381,"2005-08-01","""ISO""",34,2
178904,"2012-06-01","""ISO""",44,2
255601,"2011-03-01","""ISO""",58,2
644244,"2015-06-01","""ISO""",140,2
766156,"2013-01-01","""ISO""",1678,2
611297,"1998-07-01","""ISO""",16,2
182072,"2011-02-01","""ISO""",68,2
728704,"2015-07-01","""ISO""",60,2
432372,"2012-12-01","""ISO""",326,2
493481,"2012-12-01","""ISO""",2,2
524042,"2015-04-01","""ISO""",2,2
158059,"9999-01-01","""ISO""",62,2
395059,"2009-01-01","""ISO""",108,2
406257,"2009-11-01","""ISO""",2,2
608120,"2009-08-01","""ISO""",126,2
498524,"2012-06-01","""ISO""",190,2
407432,"9999-01-01","""ISO""",10,2
326131,"9999-01-01","""ISO""",350,2
670014,"2009-03-01","""ISO""",190,2
254431,"2015-02-01","""ISO""",26,2
277435,"2013-11-01","""ISO""",2,2
243467,"2009-07-01","""ISO""",190,2
334287,"2014-07-01","""ISO""",128,2
336207,"2014-03-01","""ISO""",2,2
474118,"2015-06-01","""ISO""",16,2
372646,"2008-07-01","""ISO""",66,2
444883,"2014-03-01","""ISO""",44,2
362914,"2009-12-01","""ISO""",66,2
503836,"2008-01-01","""ISO""",342,2
619847,"2007-05-01","""ISO""",74,2
465822,"2012-02-01","""ISO""",136,2
600303,"2005-07-01","""ISO""",46,2
