"tag","num"
"template/section/p/a/@href",6
"Product_Bundle/Reference_List/External_Reference/reference_text",6
"Rois/Roi/Reference/doi",6
"netcdf/attribute/@value",6
"MD_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString",6
"paper/reference/doi",6
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/identifier/MD_Identifier/code/Anchor",6
"Product_Bundle/Reference_List/External_Reference/doi",6
"book/body/sec/p",6
"kml/Document/Placemark/description",6
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString",5
"schvalene_zmluvy_o_fp/zmluva/datum-podpisu-ministrom",5
"metadata/dataIdInfo/idAbs",5
"registryObjects/registryObject/collection/relatedInfo/identifier",5
"RDF/Description/citesAsMetadataDocument",5
"Product_Instrument_PDS3/Reference_List/External_Reference/reference_text",5
"SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL",4
"catalog-item/urls/url/link",4
"codeBook/stdyDscr/dataAccs/useStmt/citReq",4
"feed/entry/content/div/p/a/@href",4
"RDF/ExternalDataSpec/abstract",4
"paper/note/link/@doi",4
"metadata/dataIdInfo/idPurp",4
"catalog-item/fgdc-lineage/method/methcite/citeinfo/onlink",4
"OAI-PMH/ListRecords/record/metadata/crossref/journal/journal_issue/doi_data/resource",4
"kml/GroundOverlay/description/a/@href",4
"Product_Mission_PDS3/Mission_PDS3/mission_desc",4
"xml/records/record/pages/style",4
"Product_Context/Investigation/description",4
"Product_Document/Reference_List/External_Reference/description",4
"DIF/Related_URL/URL",4
"LABMEMBER/PUBLICATIONS/PUBLICATION/AT",4
"MI_Metadata/dataQualityInfo/DQ_DataQuality/report/DQ_CompletenessCommission/evaluationMethodDescription/CharacterString",4
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/otherCitationDetails/CharacterString",4
"metadata/distInfo/distTranOps/onLineSrc/linkage",4
"PAMDataset/Subdataset/PAMDataset/Metadata/MDI",4
"DIF/Reference",4
"metadata/dataqual/lineage/method/methcite/citeinfo/onlink",4
"Product_Instrument_PDS3/Instrument_PDS3/instrument_desc",4
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/otherCitationDetails/CharacterString",4
