"protocol","host","match_type","count_w_type","pct_w_type","total_responses"
"FGDC","gstore.unm.edu","uuid",318,97.25,327
"FGDC","data.noaa.gov","uuid",326,96.45,338
"FGDC","catalog.data.gov","uuid",2932,96.35,3043
"FGDC","seakgis03.alaska.edu","uuid",75,96.15,78
"FGDC","dot.ca.gov","uuid",42,95.45,44
"FGDC","redbuttecreek.utah.edu","uuid",20,95.24,21
"FGDC","walrus.wr.usgs.gov","uuid",220,92.44,238
"FGDC","www.nmfs.noaa.gov","uuid",11,91.67,12
"FGDC","www.nrel.gov","uuid",17,89.47,19
"FGDC","www.fgdl.org","uuid",152,88.89,171
"FGDC","edg.epa.gov","uuid",117,88.64,132
"FGDC","www.envirobase.usgs.gov","uuid",22,88.00,25
"FGDC","data.arcticatlas.org","uuid",10,83.33,12
"FGDC","www.idwr.idaho.gov","uuid",586,82.89,707
"FGDC","www.pasda.psu.edu","uuid",159,82.38,193
"FGDC","cloud.insideidaho.org","uuid",65,77.38,84
"FGDC","data.doi.gov","uuid",33,76.74,43
"FGDC","insideidaho.org","uuid",27,72.97,37
"FGDC","www.insideidaho.org","uuid",16,66.67,24
"FGDC","www.cob.org","uuid",57,61.96,92
"FGDC","woodshole.er.usgs.gov","uuid",322,61.92,520
"FGDC","www.idaholidar.org","uuid",26,57.78,45
"FGDC","pubs.usgs.gov","uuid",1082,38.95,2778
"FGDC","data.boisestate.edu","uuid",40,36.70,109
"FGDC","rmgsc.cr.usgs.gov","uuid",302,28.20,1071
"FGDC","data.a2gov.org","uuid",5,25.00,20
"FGDC","www.coris.noaa.gov","uuid",85,20.00,425
"FGDC","gisinventory.net","uuid",9,11.11,81
"FGDC","map.demac.udel.edu","uuid",2,10.53,19
"FGDC","data.usgs.gov","uuid",85,9.69,877
"FGDC","geoportal.utc.edu","uuid",2,8.00,25
"FGDC","www.nhcpara.noaa.gov","uuid",1,7.14,14
"FGDC","www.nhc.noaa.gov","uuid",1,7.14,14
"FGDC","www.cteco.uconn.edu","uuid",3,4.62,65
"FGDC","gisdata.nd.gov","uuid",73,3.53,2066
"FGDC","www.epa.gov","uuid",1,3.23,31
"FGDC","isgs.illinois.edu","uuid",2,2.86,70
"FGDC","bluehub.jrc.ec.europa.eu","uuid",3,2.21,136
"FGDC","www.isgs.uiuc.edu","uuid",2,2.20,91
"FGDC","www.isgs.illinois.edu","uuid",2,2.17,92
"FGDC","data.fs.usda.gov","uuid",2,1.80,111
"FGDC","www.srs.fs.usda.gov","uuid",1,1.69,59
"FGDC","arcticlcc.org","uuid",1,1.56,64
"FGDC","data.denvergov.org","uuid",2,1.29,155
"FGDC","water.usgs.gov","uuid",2,0.36,563
"FGDC","coast.noaa.gov","uuid",2,0.19,1034
