"tag","match_type","num"
"metadata/eainfo/detailed/attr/attrdomv/codesetd/codesetn","urn",1
"metadata/eainfo/detailed/attr/attrdomv/edom/edomvd","cooluri",1
"metadata/eainfo/detailed/attr/attrdomv/edom/edomvd","urn",1
"metadata/eainfo/detailed/attr/attrdomv/rdom/attrunit","urn",9
"metadata/eainfo/detailed/attr/attrdomv/rdom/rdommax","urn",1
"metadata/eainfo/detailed/attr/attrdomv/udom","urn",13
"metadata/eainfo/detailed/attr/attrdomv/udom","cooluri",4
"metadata/eainfo/detailed/attr/attrlabl","urn",2
"metadata/eainfo/detailed/attr/attrvai/attrva","md5",6
"metadata/eainfo/detailed/enttyp/enttypds","urn",2
"metadata/eainfo/overview/eadetcit","urn",27
"metadata/eainfo/overview/eadetcit","doi",15
"metadata/eainfo/overview/eadetcit","md5",1
"metadata/eainfo/overview/eaover","urn",8
"metadata/eainfo/overview/eaover","cooluri",1
"metadata/eainfo/overview/eaover","doi",1
"metadata/eainfo/overview/eaover","md5",1
"metadata/Esri/DataProperties/lineage/Process","uuid",242
"metadata/Esri/Locator/Properties/CLSID","uuid",10
"metadata/Esri/Locator/Properties/UICLSID","uuid",10
"metadata/Esri/MetaID","uuid",4559
"metadata/Esri/PublishedDocID","uuid",444
"metadata/identifier","urn",19
"metadata/identifier/@qualifier","text",45
"metadata/idinfo/accconst","urn",42
"metadata/idinfo/agginfo/compinfo/aggmemid/datsetid","text",1
"metadata/idinfo/agginfo/conpckid/datsetid","text",15
"metadata/idinfo/browse/browseem","cooluri",61
"metadata/idinfo/browse/browseem","md5",1
"metadata/idinfo/browse/browsen","cooluri",44
"metadata/idinfo/browse/browsen","uuid",22
"metadata/idinfo/browse/browsen","doi",1
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","doi",211
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","uuid",52
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","urn",22
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/onlink","md5",5
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/serinfo/issue","doi",17
"metadata/idinfo/citation/citeinfo/onlink","doi",619
"metadata/idinfo/citation/citeinfo/onlink","md5",269
"metadata/idinfo/citation/citeinfo/onlink","urn",26
"metadata/idinfo/citation/citeinfo/onlink","uuid",11
"metadata/idinfo/citation/citeinfo/origin","doi",14
"metadata/idinfo/citation/citeinfo/othercit","doi",28
"metadata/idinfo/citation/citeinfo/othercit","cooluri",1
"metadata/idinfo/citation/citeinfo/othercit","urn",1
"metadata/idinfo/citation/citeinfo/pubinfo/publish","doi",11
"metadata/idinfo/citation/citeinfo/title/@catid","uuid",120
"metadata/idinfo/citation/citeinfo/title/@catid","urn",120
"metadata/idinfo/citation/descript/abstract","urn",2
"metadata/idinfo/citation/eainfo/detailed/attr/attrdomv/edom/edomvd","urn",3
"metadata/idinfo/citation/status/progress","cooluri",1
"metadata/idinfo/crossref/citeinfo/onlink","doi",330
"metadata/idinfo/crossref/citeinfo/onlink","md5",15
"metadata/idinfo/crossref/citeinfo/onlink","cooluri",5
"metadata/idinfo/crossref/citeinfo/onlink","uuid",2
"metadata/idinfo/crossref/citeinfo/onlink","urn",1
"metadata/idinfo/crossref/citeinfo/othercit","doi",91
"metadata/idinfo/crossref/citeinfo/othercit","cooluri",14
"metadata/idinfo/crossref/citeinfo/othercit","md5",1
"metadata/idinfo/crossref/citeinfo/title","urn",4
"metadata/idinfo/crossref/citeinfo/title","doi",3
"metadata/idinfo/datacred","doi",47
"metadata/idinfo/datsetid","text",1326
"metadata/idinfo/descript/abstract","doi",58
"metadata/idinfo/descript/abstract","md5",17
"metadata/idinfo/descript/abstract","urn",9
"metadata/idinfo/descript/abstract","cooluri",4
"metadata/idinfo/descript/abstract","uuid",2
"metadata/idinfo/descript/noaainfo/reference","doi",1
"metadata/idinfo/descript/purpose","urn",758
"metadata/idinfo/descript/purpose","cooluri",1
"metadata/idinfo/descript/supplinf","md5",116
"metadata/idinfo/descript/supplinf","urn",85
"metadata/idinfo/descript/supplinf","cooluri",58
"metadata/idinfo/descript/supplinf","doi",45
"metadata/idinfo/descript/supplinf","uuid",5
"metadata/idinfo/ptcontac/cntinfo/cntemail","urn",1
"metadata/idinfo/spdom/descgeog","urn",4
"metadata/idinfo/spdom/multimal/ovlpdtid/datsetid","text",1
"metadata/idinfo/tool/toolcite/citeinfo/onlink","cooluri",1
"metadata/idinfo/tool/toolcite/citeinfo/onlink","md5",1
"metadata/idinfo/useconst","urn",2
"metadata/idinfo/useconst","doi",1
"metadata/link_landing","uuid",3
"metadata/mdContact/editorDigest","md5",78
"Metadata/mdContact/rpOrgName/@SDNIdent","urn",2
"Metadata/mdExtInfo/extEleInfo/extEleName","urn",10
"metadata/mdFileID","uuid",207
"Metadata/mdHrLvName/@SDNIdent","urn",2
"metadata/mdMaint/maintCont/editorDigest","md5",127
"metadata/meta","uuid",19
"metadata/metainfo/metc/cntinfo/cntinst","cooluri",2
"metadata/metainfo/metc/cntinfo/hours","urn",1
"metadata/metainfo/metextns/onlink","cooluri",2
"metadata/metainfo/metuc","uuid",6
"metadata/package/description","cooluri",3
"metadata/package/format/file","cooluri",177
"metadata/package/format/requires/entry/@name","cooluri",4
"metadata/ph/methodReference","doi",2
"metadata/plmiinfo/missinfo/missdesc","urn",4
"metadata/plmiinfo/missinfo/misshist/misssige/procstep/procdesc","urn",4
"metadata/project/idinfo/descript/supplinf","doi",16
"metadata/project/idinfo/ids/projguid","uuid",42
"metadata/project/idinfo/publication/citeinfo/onlink/link","doi",26
"metadata/purpose","urn",1
"metadata/reference","doi",2
"Metadata/refSysInfo/MdCoRefSys/refSysID/identCode/@SDNIdent","urn",1
"metadata/resources/resource/resource_url","uuid",8
"Metadata/spatRepInfo/GridSpatRep/axDimProps/Dimen/dimResol/Distance/uomName/@SDNIdent","urn",2
"metadata/suppleInfo","doi",1
"metadata/variable/methodReference","doi",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/@href","uuid",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","md5",15
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",21
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/identifier/MD_Identifier/code/Anchor","text",1
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/identifier/MD_Identifier/code/Anchor/@title","text",2
"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/identifier/MD_Identifier/code/CharacterString","text",1659
