"id","age","min","num_lineage_tokens","num_lineage_elements","num_quality_tokens","num_quality_elements"
143100,"2009-06-01","""FGDC""",2222,6,12,6
143116,"2009-03-01","""FGDC""",176,12,72,12
143133,"2006-01-01","""FGDC""",580,4,686,4
143142,"2008-04-01","""FGDC""",1887,3,167,3
143146,"2010-04-01","""FGDC""",324,20,775,20
143169,"","""ISO""",29,1,,0
143181,"2006-09-01","""FGDC""",1905,3,167,3
143189,"2014-08-01","""ISO""",,0,76,2
143199,"2012-07-01","""FGDC""",1887,3,167,3
143200,"2014-06-01","""ISO""",129,1,,0
143203,"2010-04-01","""FGDC""",2097,3,167,3
143238,"2015-05-01","""ISO""",,0,134,2
143266,"2011-04-01","""FGDC""",22,4,356,4
143317,"2014-12-01","""FGDC""",1145,10,900,10
143321,"1989-10-01","""FGDC""",1887,3,167,3
143337,"2015-08-01","""FGDC""",144,12,12,12
143343,"2012-02-01","""FGDC""",,0,6,1
143348,"2007-05-01","""FGDC""",1905,3,167,3
143378,"2010-06-01","""FGDC""",6260,16,84,16
143387,"2011-11-01","""FGDC""",144,4,193,4
143414,"","""ISO""",29,1,,0
143420,"2014-09-01","""ISO""",81,1,,0
143424,"2012-09-01","""FGDC""",,0,,0
143429,"2008-02-01","""FGDC""",52,8,104,8
143431,"2012-10-01","""FGDC""",1887,3,167,3
143443,"2015-05-01","""FGDC""",525,5,169,5
143447,"2015-07-01","""ISO""",12,1,,0
143487,"2008-03-01","""FGDC""",575,5,285,5
143500,"2014-06-01","""ISO""",41,1,22,1
143508,"2010-08-01","""FGDC""",620,10,310,10
143538,"2012-04-01","""FGDC""",435,5,114,5
143556,"2009-03-01","""ISO""",,0,80,2
143557,"2010-08-01","""FGDC""",348,32,1240,32
143569,"2015-01-01","""ISO""",350,1,,0
143572,"2014-07-01","""ISO""",,0,148,2
143625,"2011-07-01","""FGDC""",146,2,256,2
143630,"2002-12-01","""FGDC""",1887,3,167,3
143666,"2014-01-01","""ISO""",,0,,0
143671,"2015-10-01","""FGDC""",2905,5,158,5
143686,"2007-01-01","""FGDC""",24,12,144,12
143709,"2009-07-01","""FGDC""",2175,10,282,10
143739,"2008-10-01","""ISO""",,0,,0
143747,"2015-07-01","""ISO""",5,1,,0
143749,"1998-11-01","""FGDC""",1887,3,167,3
143759,"2011-07-01","""FGDC""",610,10,382,10
143798,"2012-06-01","""ISO""",,0,44,2
143801,"2015-10-01","""FGDC""",2905,5,158,5
143803,"2014-06-01","""ISO""",41,1,22,1
143807,"2012-09-01","""ISO""",,0,,0
143832,"2015-10-01","""FGDC""",2905,5,158,5
143848,"2010-04-01","""FGDC""",316,16,620,16
143869,"2011-07-01","""ISO""",,0,2,2
143887,"2010-08-01","""FGDC""",364,40,1550,40
143889,"2015-10-01","""FGDC""",2905,5,158,5
143963,"2015-03-01","""ISO""",24,1,,0
143967,"2015-07-01","""FGDC""",3612,30,2990,30
143982,"2015-09-01","""FGDC""",68,8,8,8
144009,"2015-10-01","""FGDC""",2905,5,158,5
144011,"2004-06-01","""FGDC""",447,6,,0
144020,"2015-10-01","""FGDC""",2905,5,158,5
144042,"2012-01-01","""FGDC""",350,5,891,5
144058,"2015-01-01","""FGDC""",92,4,58,4
144065,"2015-05-01","""ISO""",121,1,,0
144080,"2012-02-01","""FGDC""",2097,3,167,3
144096,"","""ISO""",63,1,,0
144107,"2007-04-01","""FGDC""",1368,3,112,3
144123,"","""ISO""",1,1,,0
144128,"2015-06-01","""ISO""",,0,2,2
144130,"2010-12-01","""FGDC""",,0,,0
144133,"","""ISO""",115,1,,0
144183,"2015-08-01","""ISO""",123,1,,0
144218,"2008-04-01","""ISO""",,0,,0
144221,"2012-01-01","""ISO""",,0,14,2
144225,"2008-10-01","""ISO""",,0,182,2
144234,"","""ISO""",316,1,,0
144239,"2012-03-01","""FGDC""",80,5,21,5
144256,"2010-04-01","""FGDC""",316,16,620,16
144258,"2014-10-01","""ISO""",551,1,,0
144266,"2014-06-01","""ISO""",127,1,,0
144291,"2012-05-01","""FGDC""",2030,21,1224,21
144306,"","""ISO""",12,1,,0
144311,"2014-09-01","""ISO""",39,1,,0
144336,"2015-05-01","""ISO""",18,1,54,1
144364,"2012-09-01","""ISO""",,0,,0
144374,"","""ISO""",1,1,,0
144389,"1998-07-01","""FGDC""",475,10,702,10
144391,"2014-07-01","""FGDC""",2275,10,298,10
144406,"","""ISO""",,0,,0
144408,"2007-05-01","""ISO""",,0,190,2
144409,"2014-08-01","""ISO""",121,1,,0
144422,"2010-07-01","""FGDC""",8,4,,0
144453,"2009-05-01","""FGDC""",32,2,68,2
144463,"","""ISO""",80,1,,0
144464,"2004-10-01","""FGDC""",1905,3,167,3
144479,"2014-05-01","""ISO""",14,1,,0
144489,"2015-10-01","""FGDC""",2905,5,158,5
144490,"2015-10-01","""FGDC""",2905,5,158,5
144508,"2006-05-01","""FGDC""",1905,3,167,3
144524,"2015-08-01","""ISO""",6,1,,0
144532,"2011-07-01","""FGDC""",146,2,244,2
144536,"2011-06-01","""FGDC""",2115,3,167,3
144538,"2011-01-01","""FGDC""",685,10,526,10
144549,"","""ISO""",417,1,,0
144583,"2012-06-01","""ISO""",,0,44,2
144613,"2013-08-01","""FGDC""",1420,10,288,10
144614,"2012-09-01","""FGDC""",,0,,0
144635,"2015-08-01","""ISO""",5,1,,0
144652,"2013-06-01","""ISO""",41,1,22,1
144659,"2014-03-01","""ISO""",121,1,,0
144663,"2011-07-01","""FGDC""",146,2,244,2
144683,"2012-11-01","""ISO""",,0,,0
144688,"2012-10-01","""FGDC""",1683,3,151,3
144714,"2011-03-01","""ISO""",,0,,0
144723,"2012-09-01","""ISO""",,0,,0
144741,"2011-07-01","""FGDC""",495,5,5,5
144761,"2011-10-01","""FGDC""",610,10,382,10
144804,"2006-05-01","""FGDC""",182,6,75,6
144811,"2012-09-01","""ISO""",,0,,0
144813,"2013-04-01","""FGDC""",209,1,,0
144814,"2009-05-01","""FGDC""",1140,12,594,12
144821,"","""ISO""",65,1,,0
144853,"2015-01-01","""ISO""",,0,,0
144857,"2015-02-01","""FGDC""",2232,3,66,3
144860,"2011-03-01","""FGDC""",2884,24,2616,24
144863,"2014-07-01","""FGDC""",1204,12,501,12
144877,"2013-11-01","""ISO""",41,1,22,1
144878,"2015-10-01","""FGDC""",2905,5,158,5
144888,"2012-09-01","""FGDC""",,0,,0
144892,"2013-10-01","""FGDC""",,0,,0
144896,"2015-05-01","""FGDC""",,0,25,5
144900,"1998-10-01","""ISO""",,0,26,2
144906,"2008-01-01","""ISO""",,0,2,2
144920,"2010-09-01","""FGDC""",40,20,55,20
144928,"2015-04-01","""ISO""",18,1,54,1
144949,"2015-10-01","""FGDC""",2905,5,158,5
144952,"2012-06-01","""ISO""",,0,44,2
144954,"2012-07-01","""FGDC""",1240,44,1056,44
144959,"","""ISO""",29,1,,0
144960,"2014-03-01","""ISO""",121,1,,0
144968,"2011-02-01","""FGDC""",350,5,888,5
144973,"2015-08-01","""FGDC""",68,12,12,12
144976,"2015-08-01","""ISO""",18,1,,0
144984,"2015-05-01","""ISO""",,0,,0
145003,"2010-04-01","""FGDC""",316,16,620,16
145004,"2012-03-01","""FGDC""",,0,,0
145017,"2014-10-01","""ISO""",,0,32,2
145052,"2014-05-01","""ISO""",104,1,,0
145054,"","""ISO""",68,1,,0
145056,"2007-10-01","""FGDC""",30,2,66,2
145062,"2004-08-01","""FGDC""",1905,3,167,3
145085,"2009-10-01","""FGDC""",78,2,163,2
145098,"","""ISO""",163,1,,0
145115,"","""ISO""",,0,,0
145150,"2015-09-01","""FGDC""",16,12,12,12
145169,"","""ISO""",1,1,,0
145172,"2013-11-01","""ISO""",12,1,10,1
145181,"2013-06-01","""ISO""",,0,,0
145183,"2013-06-01","""ISO""",41,1,22,1
145192,"2014-12-01","""ISO""",73,1,,0
145196,"2009-09-01","""FGDC""",1360,50,1990,50
145197,"2015-08-01","""FGDC""",12,8,8,8
